"Symbol","LTP","%Chng","Volume"
"BPCL","403.65","-1.04","84,21,056"
"TECHM","713.60","-1.03","28,84,506"
"INDUSINDBK","508.40","-0.93","43,28,449"
"HCLTECH","712.90","-0.83","25,02,428"
"CIPLA","765.60","-0.78","38,57,067"
